Diagnosis,Number,
36011,24,"36011 = ""36011: SYMPATHETIC UVEITIS"""
37943,24,"37943 = ""37943: MYDRIASIS NOT D/T MYDRTC"""
7540,24,"7540  = ""7540 : CONG SKULL/FACE/JAW DEF"""
4169,24,"4169  = ""4169 : CHR PULMON HEART DIS NOS"""
45184,24,"45184 = ""45184: PHLEBITIS UP EXTREM UNSPEC VEIN (Begin 1993)"""
4378,24,"4378  = ""4378 : CEREBROVASC DISEASE NEC"""
28804,24,"28804 = ""28804: NEUTROPENIA D/T INFECTN (Begin 2006)"""
7421,24,"07421 = ""07421: COXSACKIE PERICARDITIS"""
49122,24,"49122 = ""49122: OBS CHR BRONC W AC BRONC (Begin 2004)"""
3099,24,"3099  = ""3099 : ADJUSTMENT REACTION NOS"""
2903,24,"2903  = ""2903 : SENILE DELIRIUM"""
73679,24,"73679 = ""73679: ACQ ANKLE-FOOT DEF NEC"""
V1272,24,#N/A
9070,24,#N/A
38860,24,"38860 = ""38860: OTORRHEA NOS"""
36217,24,"36217 = ""36217: RETINAL VARICES"""
36218,24,"36218 = ""36218: RETINAL VASCULITIS"""
7876,24,"7876  = ""7876 : INCONTINENCE OF FECES"""
37950,24,"37950 = ""37950: NYSTAGMUS NOS"""
4186,24,"04186 = ""04186: HELICOBACTER PYLORI INFECTION (Begin 1995)"""
43411,24,"43411 = ""43411: CEREB EMBOLISM W/ INFARCTION (Begin 1993)"""
2384,24,"2384  = ""2384 : POLYCYTHEMIA VERA"""
71595,24,"71595 = ""71595: OSTEOARTHROS NOS-PELVIS"""
V0382,24,#N/A
7890,24,"7890  = ""7890 : ABDOMINAL PAIN (End 1994)"""
2300,23,"2300  = ""2300 : CA IN SITU ORAL CAV/PHAR"""
75,23,"0075  = ""0075 : CYCLOSPORIASIS (Begin 2000)"""
5672,23,"5672  = ""5672 : SUPPURAT PERITONITIS NEC (End 2005)"""
37434,23,"37434 = ""37434: BLEPHAROCHALASIS"""
1302,23,"01302 = ""01302: TB MENINGITIS-EXAM UNKN"""
7921,23,"7921  = ""7921 : ABN FIND-STOOL CONTENTS"""
78959,23,"78959 = ""78959: ASCITES NEC (Begin 2007)"""
29530,23,"29530 = ""29530: PARANOID SCHIZO-UNSPEC"""
78194,23,"78194 = ""78194: FACIAL WEAKNESS (Begin 2003)"""
570,23,"0570  = ""0570 : ERYTHEMA INFECTIOSUM"""
29570,23,"29570 = ""29570: SCHIZOAFFECTIVE-UNSPEC"""
80224,23,"80224 = ""80224: FX RAMUS NOS-CLOSED"""
1481,23,"01481 = ""01481: INTESTIN TB NEC-NO EXAM"""
460,23,"0460  = ""0460 : KURU"""
31400,23,"31400 = ""31400: ATTN DEFIC NONHYPERACT"""
30301,23,"30301 = ""30301: AC ALCOHOL INTOX-CONTIN"""
9089,23,#N/A
5996,23,"5996  = ""5996 : URINARY OBSTRUCTION NOS (End 2005)"""
1101,23,"01101 = ""01101: TB LUNG INFILTR-NO EXAM"""
5190,23,"5190  = ""5190 : TRACHEOSTOMY COMPLIC (End 1998)"""
4267,23,"4267  = ""4267 : ANOMALOUS AV EXCITATION"""
V4611,23,#N/A
V1749,23,#N/A
E9361,23,#N/A
2410,23,"2410  = ""2410 : NONTOX UNINODULAR GOITER"""
1920,23,"1920  = ""1920 : MAL NEO CRANIAL NERVES"""
E887,23,#N/A
V854,23,#N/A
3558,23,"3558  = ""3558 : MONONEURITIS LEG NOS"""
57410,22,"57410 = ""57410: CHOLELITH W CHOLECYS NEC"""
V4573,22,#N/A
25070,22,"25070 = ""25070: DIAB CIRCULAT DIS TYP II"""
5829,22,"05829 = ""05829: HUMAN HERPESVR ENCPH NEC (Begin 2007)"""
E9230,22,#N/A
3459,22,"3459  = ""3459 : EPILEPSY NOS (Begin 1980"
1420,22,"1420  = ""1420 : MALIG NEO PAROTID"""
1625,22,"01625 = ""01625: TB OF URETER-HISTO DX"""
1628,22,"1628  = ""1628 : MAL NEO BRONCH/LUNG NEC"""
30521,22,"30521 = ""30521: CANNABIS ABUSE-CONTIN"""
38420,22,"38420 = ""38420: PERFORAT TYMPAN MEMB NOS"""
4539,22,"4539  = ""4539 : VENOUS THROMBOSIS NOS"""
3813,22,"3813  = ""3813 : CHR NONSUP OM NOS/NEC"""
37239,22,"37239 = ""37239: CONJUNCTIVITIS NEC"""
5723,22,"5723  = ""5723 : PORTAL HYPERTENSION"""
73309,22,"73309 = ""73309: OSTEOPOROSIS NEC"""
37852,22,"37852 = ""37852: TOTAL THIRD NERVE PALSY"""
37853,22,"37853 = ""37853: FOURTH NERVE PALSY"""
19882,22,"19882 = ""19882: SECOND MALIG NEO GENITAL"""
V0481,22,#N/A
9514,22,#N/A
1129,22,"1129  = ""1129 : CANDIDIASIS SITE NOS"""
5819,22,"5819  = ""5819 : NEPHROTIC SYNDROME NOS"""
5258,22,"5258  = ""5258 : DENTAL DISORDER NEC"""
41041,22,"41041 = ""41041: AMI INFERIOR WALL- INIT (Begin 1989)"""
971,22,"0971  = ""0971 : LATENT SYPHILIS NOS"""
5231,22,"5231  = ""5231 : CHRONIC GINGIVITIS"""
36044,22,"36044 = ""36044: LEUCOCORIA"""
V1081,22,#N/A
70709,22,"70709 = ""70709: DECUBITUS ULCER"
9998,22,#N/A
3810,22,"03810 = ""03810: STAPH SEPTICEMIA- UNSPEC (Begin 1997)"""
25082,22,"25082 = ""25082: DIAB W MANIF NEC TYPE II DM UNCONT (Begin 1993)"""
V0262,22,#N/A
56889,22,"56889 = ""56889: PERITONEAL DISORDER NEC"""
3313,22,"3313  = ""3313 : COMMUNICAT HYDROCEPHALUS"""
V1006,22,#N/A
2599,22,"2599  = ""2599 : ENDOCRINE DISORDER NOS"""
5110,22,"5110  = ""5110 : PLEURISY W/O EFFUS OR TB"""
95901,22,#N/A
99673,22,#N/A
80121,22,"80121 = ""80121: CL SKUL BASE FX W/O COMA"""
3518,21,"3518  = ""3518 : FACIAL NERVE DIS NEC"""
71694,21,"71694 = ""71694: ARTHROPATHY NOS-HAND"""
9964,21,#N/A
5269,21,"5269  = ""5269 : JAW DISEASE NOS"""
1363,21,"01363 = ""01363: TB ENCEPHALITIS-MICRO DX"""
3202,21,"3202  = ""3202 : STREPTOCOCCAL MENINGITIS"""
99883,21,#N/A
30563,21,"30563 = ""30563: COCAINE ABUSE-IN REMISS"""
72981,21,"72981 = ""72981: SWELLING OF LIMB"""
5728,21,"5728  = ""5728 : OTH SEQUELA- CHR LIV DIS"""
99667,21,#N/A
5959,21,"5959  = ""5959 : CYSTITIS NOS"""
V169,21,#N/A
88,21,"0088  = ""0088 : VIRAL ENTERITIS NOS"""
310,21,"0310  = ""0310 : PULMONARY MYCOBACTERIA"""
1456,21,"1456  = ""1456 : MALIG NEO RETROMOLAR"""
1458,21,"1458  = ""1458 : MALIG NEOPLASM MOUTH NEC"""
36064,21,"36064 = ""36064: FOREIGN BODY IN VITREOUS"""
36063,21,"36063 = ""36063: FOREIGN BODY IN LENS"""
24201,21,"24201 = ""24201: TOX DIF GOITER W CRISIS"""
4389,21,"4389  = ""4389 : UNSPEC LATE EFFECTS OF CVD (Begin 1997)"""
72400,21,"72400 = ""72400: SPINAL STENOSIS NOS"""
36004,21,"36004 = ""36004: VITREOUS ABSCESS"""
3332,21,"3332  = ""3332 : MYOCLONUS"""
1498,21,"1498  = ""1498 : MAL NEO ORAL/PHARYNX NEC"""
29623,21,"29623 = ""29623: DEPRESS PSYCHOSIS-SEVERE"""
80702,21,#N/A
501,21,"0501  = ""0501 : ALASTRIM"""
3480,21,"3480  = ""3480 : CEREBRAL CYSTS"""
E8161,21,#N/A
1907,21,"1907  = ""1907 : MAL NEO LACRIMAL DUCT"""
74346,21,"74346 = ""74346: ANOM IRIS & CIL BODY NEC"""
5989,20,"5989  = ""5989 : URETHRAL STRICTURE NOS"""
8056,20,#N/A
43311,20,"43311 = ""43311: CAROTID ART OCCLUS W/CEREB INFARCT (Begin 1993)"""
33394,20,"33394 = ""33394: RESTLESS LEGS SYNDROME (Begin 2006)"""
69589,20,"69589 = ""69589: ERYTHEMATOUS COND NEC"""
55092,20,"55092 = ""55092: BILAT INGUINAL HERNIA"""
9110,20,#N/A
E9479,20,#N/A
80229,20,"80229 = ""80229: MULT FX MANDIBLE-CLOSED"""
80228,20,"80228 = ""80228: FX MANDIBLE BODY NEC-CL"""
5932,20,"5932  = ""5932 : CYST OF KIDNEY- ACQUIRED"""
74312,20,"74312 = ""74312: MICROPHTH W OTH EYE ANOM"""
7793,20,"7793  = ""7793 : NB FEEDING PROBLEMS (end 2009)"""
V6549,20,#N/A
2398,20,"2398  = ""2398 : NEOPLASM NOS- SITE NEC (end 2009)"""
74335,20,"74335 = ""74335: CONGENITAL APHAKIA"""
74332,20,"74332 = ""74332: CORTICAL/ZONULAR CATARAC"""
46410,20,"46410 = ""46410: AC TRACHEITIS NO OBSTRUC"""
E9889,20,#N/A
1539,20,"1539  = ""1539 : MALIGNANT NEO COLON NOS"""
3892,20,"3892  = ""3892 : MIXED HEARING LOSS (end 2007)"""
36461,20,"36461 = ""36461: IMPLANTATION CYSTS"""
V127,20,#N/A
28981,20,"28981 = ""28981: PRIMARY HYPERCOAGULABLE STATE (Begin 2003)"""
E9201,20,#N/A
E9209,20,#N/A
2713,20,"2713  = ""2713 : DISACCHARIDASE DEF/MALAB"""
7958,20,"7958  = ""7958 : POSITIVE SERO/VIRAL HIV (Begin 1986"
E9229,20,#N/A
1966,20,"1966  = ""1966 : MAL NEO LYMPH-INTRAPELV"""
7282,20,"7282  = ""7282 : MUSC DISUSE ATROPHY NEC"""
E9444,20,#N/A
37542,20,"37542 = ""37542: CHRONIC DACRYOCYSTITIS"""
72402,20,"72402 = ""72402: SPINAL STENOSIS-LUMBAR"""
30981,20,"30981 = ""30981: PROLONG POSTTRAUM STRESS"""
41511,20,"41511 = ""41511: IATROGENIC PULM EMBOL INFARCT (Begin 1995)"""
30513,20,"30513 = ""30513: TOBACCO ABUSE-IN REMISS"""
75659,20,"75659 = ""75659: OSTEODYSTROPHY NEC"""
V51,20,#N/A
2388,20,"2388  = ""2388 : UNCERT BEHAVIOR NEO NEC"""
1905,20,"1905  = ""1905 : MALIGN NEOPL RETINA"""
V1641,20,#N/A
25063,19,"25063 = ""25063: DIAB NEURO MANIF TYPE I DM UNCONT (Begin 1993)"""
42830,19,"42830 = ""42830: UNSPECIFIED DIASTOLIC HEART FAILURE (Begin 2002)"""
1541,19,"1541  = ""1541 : MALIGNANT NEOPL RECTUM"""
E8844,19,#N/A
38600,19,"38600 = ""38600: MENIERE-s DISEASE NOS"""
72210,19,"72210 = ""72210: LUMBAR DISC DISPLACEMENT"""
37433,19,"37433 = ""37433: MECHANICAL PTOSIS"""
V066,19,#N/A
37414,19,"37414 = ""37414: CICATRICIAL ECTROPION"""
71945,19,"71945 = ""71945: JOINT PAIN-PELVIS"""
9300,19,#N/A
5888,19,"5888  = ""5888 : IMPAIRED RENAL FUNCT NEC (End 2004)"""
2251,19,"2251  = ""2251 : BENIGN NEO CRANIAL NERVE"""
2863,19,"2863  = ""2863 : CONG DEF CLOT FACTOR NEC"""
2865,19,"2865  = ""2865 : CIRCULATING ANTICOAG DIS"""
76503,19,"76503 = ""76503: EXTREME IMMATUR 750-999G (Begin 1988)"""
80502,19,#N/A
53370,19,"53370 = ""53370: CHRONIC PEPTIC ULCER NOS"""
5680,19,"5680  = ""5680 : PERITONEAL ADHESIONS"""
43882,19,"43882 = ""43882: OT LATE EFF CVD DYSPHAGIA (Begin 1997)"""
28809,19,"28809 = ""28809: NEUTROPENIA NEC (Begin 2006)"""
4920,19,"4920  = ""4920 : EMPHYSEMATOUS BLEB"""
37132,19,"37132 = ""37132: FOLD IN DESCEMET MEMBRAN"""
7243,19,"7243  = ""7243 : SCIATICA"""
5854,19,"5854  = ""5854 : CHR KIDNEY DIS STAGE IV (Begin 2005)"""
V428,19,#N/A
30400,19,"30400 = ""30400: OPIOID DEPENDENCE-UNSPEC"""
E8889,19,#N/A
94108,19,#N/A
29562,19,"29562 = ""29562: RESIDUAL SCHIZOPHREN-CHR"""
1459,19,"1459  = ""1459 : MALIG NEOPLASM MOUTH NOS"""
485,19,"485   = ""485  : BRONCOPNEUMONIA ORG NOS"""
78551,19,"78551 = ""78551: CARDIOGENIC SHOCK"""
36251,19,"36251 = ""36251: NONEXUDAT MACULAR DEGEN"""
V1085,19,#N/A
2041,19,"2041  = ""2041 : CHR LYMPHOID LEUKEMIA (Begin 1980"
V5863,19,#N/A
23871,19,"23871 = ""23871: ESSNTIAL THROMBOCYTHEMIA (Begin 2006)"""
1619,19,"1619  = ""1619 : MALIGNANT NEO LARYNX NOS"""
1965,19,"1965  = ""1965 : MAL NEO LYMPH-INGUIN/LEG"""
E9300,19,#N/A
70219,19,"70219 = ""70219: OTHER SEBORRHEIC KERATOSIS (Begin 1994)"""
80703,19,#N/A
56089,19,"56089 = ""56089: INTESTINAL OBSTRUCT NEC"""
36630,19,"36630 = ""36630: CATARACTA COMPLICATA NOS"""
2163,19,"2163  = ""2163 : BENIGN NEO SKIN FACE NEC"""
44389,19,"44389 = ""44389: PERIPH VASCULAR DIS NEC"""
9584,19,#N/A
8220,19,#N/A
5305,19,"5305  = ""5305 : DYSKINESIA OF ESOPHAGUS"""
8750,19,#N/A
3769,19,"3769  = ""3769 : ORBITAL DISORDER NOS"""
3519,18,"3519  = ""3519 : FACIAL NERVE DIS NOS"""
25541,18,"25541 = ""25541: GLUCOCORTICOID DEFICIENT (Begin 2007)"""
9962,18,#N/A
2189,18,"2189  = ""2189 : UTERINE LEIOMYOMA NOS"""
71946,18,"71946 = ""71946: JOINT PAIN-L/LEG"""
4430,18,"4430  = ""4430 : RAYNAUD-s SYNDROME"""
3968,18,"3968  = ""3968 : MITR/AORTIC MULT INVOLV"""
37909,18,"37909 = ""37909: SCLERITIS NEC"""
7718,18,"7718  = ""7718 : PERINATAL INFECTION NEC (End 2002)"""
9309,18,#N/A
4829,18,"4829  = ""4829 : BACTERIAL PNEUMONIA NOS"""
4822,18,"4822  = ""4822 : H.INFLUENZAE PNEUMONIA"""
5282,18,"5282  = ""5282 : ORAL APHTHAE"""
8470,18,#N/A
E9358,18,#N/A
2396,18,"2396  = ""2396 : BRAIN NEOPLASM NOS"""
38100,18,"38100 = ""38100: AC NONSUP OTITIS MED NOS"""
2111,18,"2111  = ""2111 : BENIGN NEOPLASM STOMACH"""
5109,18,"5109  = ""5109 : EMPYEMA W/O FISTULA"""
V1584,18,#N/A
V1588,18,#N/A
5768,18,"5768  = ""5768 : DIS OF BILIARY TRACT NEC"""
39890,18,"39890 = ""39890: RHEUMATIC HEART DIS NOS"""
37832,18,"37832 = ""37832: HYPOTROPIA"""
7244,18,"7244  = ""7244 : LUMBOSACRAL NEURITIS NOS"""
99681,18,#N/A
3509,18,"3509  = ""3509 : TRIGEMINAL NERVE DIS NOS"""
7881,18,"07881 = ""07881: EPIDEMIC VERTIGO"""
99701,18,#N/A
E8810,18,#N/A
5839,18,"5839  = ""5839 : NEPHRITIS NOS"""
53200,18,"53200 = ""53200: AC DUODENAL ULCER W HEM"""
41189,18,"41189 = ""41189: AC ISCHEMIC HRT DIS NEC (Begin 1989)"""
2273,18,"2273  = ""2273 : BENIGN NEO PITUITARY"""
37919,18,"37919 = ""37919: DISORDER OF SCLERA NEC"""
36211,18,"36211 = ""36211: HYPERTENSIVE RETINOPATHY"""
4242,18,"4242  = ""4242 : NONRHEUM TRICUSP VAL DIS"""
3239,18,"3239  = ""3239 : ENCEPHALITIS NOS"""
9993,18,#N/A
94800,18,#N/A
V4282,18,#N/A
4151,18,"4151  = ""4151 : PULMON EMBOLISM/INFARCT (End 1995)"""
47879,18,"47879 = ""47879: DISEASE OF LARYNX NEC"""
85401,18,#N/A
75555,18,"75555 = ""75555: ACROCEPHALOSYNDACTYLY"""
80120,18,"80120 = ""80120: CL SKL BASE FX/MENIN HEM"""
4722,17,"4722  = ""4722 : CHRONIC NASOPHARYNGITIS"""
37646,17,"37646 = ""37646: ENLARGEMENT OF ORBIT"""
5809,17,"5809  = ""5809 : ACUTE NEPHRITIS NOS"""
30593,17,"30593 = ""30593: DRUG ABUSE NEC-IN REMISS-"""
5224,17,"5224  = ""5224 : AC APICAL PERIODONTITIS"""
23770,17,"23770 = ""23770: NEUROFIBROMATOSIS NOS (Begin 1990)"""
9308,17,#N/A
2442,17,"2442  = ""2442 : IODINE HYPOTHYROIDISM"""
9348,17,#N/A
45189,17,"45189 = ""45189: THROMBOPHLEBITIS NEC"""
5762,17,"5762  = ""5762 : OBSTRUCTION OF BILE DUCT"""
5761,17,"5761  = ""5761 : CHOLANGITIS"""
73349,17,"73349 = ""73349: ASEPT NECROSIS BONE NEC"""
8830,17,#N/A
3525,17,"3525  = ""3525 : HYPOGLOSSAL NERVE DIS"""
37999,17,"37999 = ""37999: ILL-DEFINED EYE DIS NEC"""
37003,17,"37003 = ""37003: CENTRAL CORNEAL ULCER"""
71509,17,"71509 = ""71509: GENERAL OSTEOARTHROSIS"""
7423,17,"07423 = ""07423: COXSACKIE MYOCARDITIS"""
V1250,17,#N/A
7761,17,"7761  = ""7761 : NEONATAL THROMBOCYTOPEN"""
30002,17,"30002 = ""30002: GENERALIZED ANXIETY DIS"""
E9421,17,#N/A
4105,17,"04105 = ""04105: GROUP G STREPTOCOCCUS (Begin 1992)"""
5569,17,"5569  = ""5569 : ULCERATIVE COLITIS NOS (Begin 1994)"""
36060,17,"36060 = ""36060: INTRAOCULAR FB NOS"""
7848,17,"7848  = ""7848 : HEMORRHAGE FROM THROAT"""
37831,17,"37831 = ""37831: HYPERTROPIA"""
V5862,17,#N/A
1618,17,"1618  = ""1618 : MALIGNANT NEO LARYNX NEC"""
V222,17,#N/A
47833,17,"47833 = ""47833: VOCAL PARAL BILAT PART"""
37500,17,"37500 = ""37500: DACRYOADENITIS NOS"""
7011,17,"7011  = ""7011 : KERATODERMA- ACQUIRED"""
40492,17,"40492 = ""40492: HY HT/REN NOS W REN FAIL (Begin 1989)"""
849,17,"00849 = ""00849: BACTERIAL ENTERITIS NEC"""
3766,17,"3766  = ""3766 : OLD FOREIGN BODY- ORBIT"""
48282,17,"48282 = ""48282: E COLI PNEUMONIA (Begin 1992)"""
48289,17,"48289 = ""48289: BACT PNEUMONIA NEC (Begin 1992)"""
2912,17,"2912  = ""2912 : ALCOHOLIC DEMENTIA NEC"""
20510,17,"20510 = ""20510: CHR MYL LEUK W/O RMSION (Begin 1991)"""
8820,17,#N/A
71531,16,"71531 = ""71531: LOC OSTEOARTH NOS-SHLDER"""
4748,16,"4748  = ""4748 : CHR T & A DIS NEC"""
6256,16,"6256  = ""6256 : FEM STRESS INCONTINENCE"""
53541,16,"53541 = ""53541: OTH SPF GASTRT W HMRHG (Begin 1991)"""
7931,16,"7931  = ""7931 : ABN FINDINGS-LUNG FIELD"""
1462,16,"1462  = ""1462 : MAL NEO TONSIL PILLARS"""
71698,16,"71698 = ""71698: ARTHROPATHY NOS-OTH SITE"""
36242,16,"36242 = ""36242: SEROUS DETACH PIGM EPITH"""
88100,16,#N/A
4476,16,"4476  = ""4476 : ARTERITIS NOS"""
2468,16,"2468  = ""2468 : DISORDERS OF THYROID NEC"""
3831,16,"3831  = ""3831 : CHRONIC MASTOIDITIS"""
5379,16,"05379 = ""05379: H ZOSTER COMPLICATED NEC"""
29900,16,"29900 = ""29900: INFANTILE AUTISM-ACTIVE"""
80506,16,#N/A
3844,16,"03844 = ""03844: SERRATIA SEPTICEMIA"""
29690,16,"29690 = ""29690: AFFECTIVE PSYCHOSIS NOS"""
78093,16,"78093 = ""78093: MEMORY LOSS (Begin 2003)"""
37271,16,"37271 = ""37271: HYPEREMIA OF CONJUNCTIVA"""
1890,16,"01890 = ""01890: MILIARY TB NOS-UNSPEC"""
3158,16,"3158  = ""3158 : DEVELOPMENT DELAYS NEC"""
V120,16,#N/A
5259,16,"5259  = ""5259 : DENTAL DISORDER NOS"""
20288,16,"20288 = ""20288: LYMPHOMAS NEC MULT"""
1121,16,"01121 = ""01121: TB LUNG W CAVITY-NO EXAM"""
V4976,16,#N/A
E9224,16,#N/A
V1279,16,#N/A
9072,16,#N/A
5582,16,"5582  = ""5582 : TOXIC GASTROENTERITIS"""
4532,16,"4532  = ""4532 : VENA CAVA THROMBOSIS"""
5449,16,"05449 = ""05449: HERPES SIMPLEX EYE NEC"""
81100,16,#N/A
37446,16,"37446 = ""37446: BLEPHAROPHIMOSIS"""
36274,16,"36274 = ""36274: PIGMENT RETINA DYSTROPHY"""
37050,16,"37050 = ""37050: INTERSTIT KERATITIS NOS"""
37631,16,"37631 = ""37631: CONSTANT EXOPHTHALMOS"""
3182,16,"3182  = ""3182 : PROFOUND MENTAL RETARDAT"""
7871,16,"7871  = ""7871 : HEARTBURN"""
566,16,"566   = ""566  : ANAL & RECTAL ABSCESS"""
53020,16,"53020 = ""53020: ULCER OF ESOPHAGUS WITHOUT BLEEDING (Begin 2003)"""
82525,16,#N/A
70722,16,"70722 = ""70722: PRESSURE ULCER"
73710,16,"73710 = ""73710: KYPHOSIS NOS"""
37734,16,"37734 = ""37734: TOXIC OPTIC NEUROPATHY"""
3319,16,"3319  = ""3319 : CEREB DEGENERATION NOS"""
5739,16,"5739  = ""5739 : LIVER DISORDER NOS"""
5238,16,"5238  = ""5238 : PERIODONTAL DISEASE NEC"""
37522,16,"37522 = ""37522: EPIPHORA D/T INSUF DRAIN"""
8248,16,#N/A
71594,16,"71594 = ""71594: OSTEOARTHROS NOS-HAND"""
7439,16,"7439  = ""7439 : EYE ANOMALY NOS"""
38300,16,"38300 = ""38300: AC MASTOIDITIS W/O COMPL"""
E9651,16,#N/A
5081,16,"5081  = ""5081 : CHR PUL MANIF D/T RADIAT"""
1889,16,"1889  = ""1889 : MALIG NEO BLADDER NOS"""
99813,16,#N/A
34839,16,"34839 = ""34839: OTHER ENCEPHALOPATHY (Begin 2003)"""
87330,16,#N/A
45119,15,"45119 = ""45119: DEEP PHLEBITIS-LEG NEC"""
7963,15,"7963  = ""7963 : LOW BLOOD PRESS READING"""
33399,15,"33399 = ""33399: EXTRAPYRAMIDAL DIS NEC"""
494,15,"494   = ""494  : BRONCHIECTASIS (End 2000)"""
V453,15,#N/A
7292,15,"7292  = ""7292 : NEURALGIA/NEURITIS NOS"""
3384,15,"3384  = ""3384 : CHRONIC PAIN SYNDROME (Begin 2006)"""
70715,15,"70715 = ""70715: ULCER OF OTHER PART OF FOOT (Begin 2000)"""
V1504,15,#N/A
7061,15,"7061  = ""7061 : ACNE NEC"""
37941,15,"37941 = ""37941: ANISOCORIA"""
7048,15,"7048  = ""7048 : HAIR DISEASES NEC"""
8604,15,#N/A
80221,15,"80221 = ""80221: FX CONDYL PROC MANDIB-CL"""
1488,15,"1488  = ""1488 : MAL NEO HYPOPHARYNX NEC"""
36609,15,"36609 = ""36609: NONSENILE CATARACT NEC"""
8246,15,#N/A
82382,15,#N/A
7020,15,"07020 = ""07020: VRL HEPAT B CM W/O DELTA (Begin 1991)"""
74337,15,"74337 = ""74337: CONGENITAL ECTOPIC LENS"""
1918,15,"1918  = ""1918 : MALIG NEO BRAIN NEC"""
77181,15,"77181 = ""77181: SEPTICEMIA [SEPSIS] OF NEWBORN (Begin 2002)"""
9301,15,#N/A
99661,15,#N/A
9065,15,#N/A
3159,15,"3159  = ""3159 : DEVELOPMENT DELAY NOS"""
53085,15,"53085 = ""53085: BARRETTS ESOPHAGUS (Begin 2003)"""
V4281,15,#N/A
8748,15,#N/A
5080,15,"5080  = ""5080 : AC PUL MANIF D/T RADIAT"""
529,15,"0529  = ""0529 : VARICELLA UNCOMPLICATED"""
68100,15,"68100 = ""68100: CELLULITIS- FINGER NOS"""
72888,15,"72888 = ""72888: RHABDOMYOLYSIS (Begin 2003)"""
312,15,"0312  = ""0312 : DX DUE TO DISSEM MYCOBACT (Begin 1997)"""
1108,15,"1108  = ""1108 : DERMATOPHYTOSIS SITE NEC"""
30924,15,"30924 = ""30924: ADJ REACT-ANXIOUS MOOD"""
1419,15,"1419  = ""1419 : MALIG NEO TONGUE NOS"""
7708,15,"7708  = ""7708 : POST-BIRTH RESP PROB NEC (End 2002)"""
4269,15,"4269  = ""4269 : CONDUCTION DISORDER NOS"""
2452,15,"2452  = ""2452 : CHR LYMPHOCYT THYROIDIT"""
92401,15,#N/A
1398,15,"1398  = ""1398 : LATE EFF INFECT DIS NEC"""
E9309,15,#N/A
E9305,15,#N/A
36963,15,"36963 = ""36963: ONE EYE-TOTAL/OTH-NORMAL"""
74322,15,"74322 = ""74322: BUPHTHAL W OTH EYE ANOM"""
40493,15,"40493 = ""40493: HYP HT/REN NOS W CHF  &  RF (Begin 1989)"""
99650,15,#N/A
44281,15,"44281 = ""44281: ANEURYSM OF NECK"""
2918,15,"2918  = ""2918 : ALCOHOLIC PSYCHOSIS NEC  (End 1996)"""
V1047,15,#N/A
V137,15,#N/A
3570,15,"3570  = ""3570 : AC INFECT POLYNEURITIS"""
74602,15,"74602 = ""74602: CONG PULMON VALVE STENOS"""
7891,15,"7891  = ""7891 : HEPATOMEGALY"""
36846,14,"36846 = ""36846: HOMONYMOUS HEMIANOPSIA"""
36841,14,"36841 = ""36841: CENTRAL SCOTOMA"""
71535,14,"71535 = ""71535: LOC OSTEOARTH NOS-PELVIS"""
1175,14,"01175 = ""01175: TB PNEUMOTHORAX-HISTO DX"""
V1202,14,#N/A
1701,14,"01701 = ""01701: TB SKIN/SUBCUT-NO EXAM"""
3003,14,"3003  = ""3003 : OBSESSIVE-COMPULSIVE DIS"""
V1261,14,#N/A
3594,14,"3594  = ""3594 : TOXIC MYOPATHY"""
V5721,14,#N/A
5570,14,"5570  = ""5570 : AC VASC INSUFF INTESTINE"""
4471,14,"4471  = ""4471 : STRICTURE OF ARTERY"""
V3000,14,#N/A
7080,14,"7080  = ""7080 : ALLERGIC URTICARIA"""
81341,14,#N/A
11592,14,"11592 = ""11592: HISTOPLASMOSIS RETINITIS"""
38160,14,"38160 = ""38160: OBSTR EUSTACH TUBE NOS"""
V718,14,#N/A
1975,14,"1975  = ""1975 : SEC MALIG NEO LG BOWEL"""
27700,14,"27700 = ""27700: CYSTIC FIBROS W/O ILEUS"""
29633,14,"29633 = ""29633: RECUR DEPR PSYCH-SEVERE"""
29634,14,"29634 = ""29634: REC DEPR PSYCH-PSYCHOTIC"""
25092,14,"25092 = ""25092: DIAB W COMPL NOS TYPE II DM UNCONT (Begin 1993)"""
8602,14,#N/A
1830,14,"1830  = ""1830 : MALIGN NEOPL OVARY"""
41402,14,"41402 = ""41402: CORONARY ATHERO AUTOLOG VEIN (Begin 1994)"""
28262,14,"28262 = ""28262: HB-S DISEASE WITH CRISIS"""
27900,14,"27900 = ""27900: HYPOGAMMAGLOBULINEM NOS"""
V1072,14,#N/A
81221,14,#N/A
99664,14,#N/A
25013,14,"25013 = ""25013: DIAB KETOACID TYPE I DM UNCONT (Begin 1993)"""
99685,14,#N/A
8749,14,#N/A
57400,14,"57400 = ""57400: CHOLELITH W AC CHOLECYST"""
V166,14,#N/A
72885,14,"72885 = ""72885: SPASM OF MUSCLE"""
7224,14,"7224  = ""7224 : CERVICAL DISC DEGEN"""
75310,14,"75310 = ""75310: CYSTIC KIDNEY DISEAS NOS (Begin 1990)"""
V070,14,#N/A
5233,14,"5233  = ""5233 : ACUTE PERIODONTITIS"""
36720,14,"36720 = ""36720: ASTIGMATISM NOS"""
37274,14,"37274 = ""37274: CONJUNCTIVA VASC ANOMALY"""
44021,14,"44021 = ""44021: ATHEROSCL-EXTREM CLAUDIC (Begin 1992)"""
7283,14,"7283  = ""7283 : MUSCLE DISORDERS NEC"""
