,x,
78052,5,"78052 = ""78052: INSOMNIA NEC"""
7810,5,"07810 = ""07810: VIRAL WARTS UNSPEC (Begin 1993)"""
7811,5,"07811 = ""07811: CONDYLOMA ACCUMINATUM (Begin 1993)"""
78321,5,"78321 = ""78321: LOSS OF WEIGHT (Begin 2000)"""
7866,5,"7866  = ""7866 : CHEST SWELLING/MASS/LUMP"""
7962,5,"7962  = ""7962 : ELEV BL PRES W/O HYPERTN"""
7990,5,"7990  = ""7990 : ASPHYXIA (End 2005)"""
7993,5,"7993  = ""7993 : DEBILITY NOS"""
99662,5,"99662 = ""99662: REACT-OTH VASC DEV/GRAFT (Begin 1989)"""
99669,5,"99669 = ""99669: REACT-INT PROS DEVIC NEC (Begin 1989)"""
99799,5,"99799 = ""99799: OTH COMPLIC NOS (Begin 1995)"""
9992,5,"9992  = ""9992 : VASC COMP MED CARE NEC"""
E8798,5,"E8798 = ""E8798: ABN REACT-PROCEDURE NEC"""
V090 ,5,#N/A
V1044,5,"V1044 = ""V1044: HX-FEMALE GENIT MALG NEC"""
V1085,5,"V1085 = ""V1085: HX OF BRAIN MALIGNANCY"""
V1089,5,"V1089 = ""V1089: HX OF MALIGNANCY NEC"""
V1301,5,"V1301 = ""V1301: HX URINARY CALCULI (Begin 1994)"""
V1581,5,"V1581 = ""V1581: HX OF PAST NONCOMPLIANCE"""
V161 ,5,#N/A
V4577,5,"V4577 = ""V4577: ACQUIRED ABSENCE GENITAL ORGANS (Begin 2000)"""
V4578,5,"V4578 = ""V4578: ACQUIRED ABSENCE EYE (Begin 2000)"""
1439,4,"1439  = ""1439 : MALIG NEO GUM NOS"""
1473,4,"1473  = ""1473 : MAL NEO ANT NASOPHARYNX"""
1961,4,"1961  = ""1961 : MAL NEO LYMPH-INTRATHOR"""
2130,4,"2130  = ""2130 : BEN NEO SKULL/FACE BONE"""
2410,4,"2410  = ""2410 : NONTOX UNINODULAR GOITER"""
2441,4,"2441  = ""2441 : POSTABLAT HYPOTHYR NEC"""
25061,4,"25061 = ""25061: DIAB NEURO MANIF TYPE I"""
2512,4,"2512  = ""2512 : HYPOGLYCEMIA NOS"""
2738,4,"2738  = ""2738 : DIS PLAS PROTEIN MET NEC"""
27542,4,"27542 = ""27542: HYPERCALCEMIA (Begin 1997)"""
2874,4,"2874  = ""2874 : SECOND THROMBOCYTOPENIA"""
2912,4,"2912  = ""2912 : ALCOHOLIC DEMENTIA NEC"""
29620,4,"29620 = ""29620: DEPRESS PSYCHOSIS-UNSPEC"""
30393,4,"30393 = ""30393: ALCOH DEP NECNOS-REMISS"""
30510,4,"30510 = ""30510: TOBACCO ABUSE-UNSPEC"""
31400,4,"31400 = ""31400: ATTN DEFIC NONHYPERACT"""
317,4,"317   = ""317  : MILD MENTAL RETARDATION"""
3429,4,"3429  = ""3429 : HEMIPLEGIA NOS (End 1994)"""
37034,4,"37034 = ""37034: EXPSURE KERATOCONJUNCTIV"""
37140,4,"37140 = ""37140: CORNEAL DEGENERATION NOS"""
37272,4,"37272 = ""37272: CONJUNCTIVAL HEMORRHAGE"""
37689,4,"37689 = ""37689: ORBITAL DISORDERS NEC"""
37831,4,"37831 = ""37831: HYPERTROPIA"""
37853,4,"37853 = ""37853: FOURTH NERVE PALSY"""
37855,4,"37855 = ""37855: EXTERNAL OPHTHALMOPLEGIA"""
3829,4,"3829  = ""3829 : OTITIS MEDIA NOS"""
38910,4,"38910 = ""38910: SENSORNEUR HEAR LOSS NOS"""
4010,4,"4010  = ""4010 : MALIGNANT HYPERTENSION"""
41091,4,"41091 = ""41091: AMI NOS- INITIAL (Begin 1989)"""
418,4,#N/A
4262,4,"4262  = ""4262 : LEFT BB HEMIBLOCK"""
4299,4,"4299  = ""4299 : HEART DISEASE NOS"""
43889,4,"43889 = ""43889: OT LATE EFFECTS OF CVD (Begin 1997)"""
44020,4,"44020 = ""44020: ATHEROSCLEROS-EXTREM NOS (Begin 1992)"""
4580,4,"4580  = ""4580 : ORTHOSTATIC HYPOTENSION"""
501,4,"501   = ""501  : ASBESTOSIS"""
5198,4,"5198  = ""5198 : RESP SYSTEM DISEASE NEC"""
5206,4,"5206  = ""5206 : TOOTH ERUPTION DISTURB"""
5224,4,"5224  = ""5224 : AC APICAL PERIODONTITIS"""
5258,4,"5258  = ""5258 : DENTAL DISORDER NEC"""
53011,4,"53011 = ""53011: REFLUX ESOPHAGITIS (Begin 1993)"""
5715,4,"5715  = ""5715 : CIRRHOSIS OF LIVER NOS"""
5781,4,"5781  = ""5781 : MELENA"""
6929,4,"6929  = ""6929 : DERMATITIS NOS"""
7020,4,"7020  = ""7020 : ACTINIC KERATOSIS (Begin 1991)"""
70219,4,"70219 = ""70219: OTHER SEBORRHEIC KERATOSIS (Begin 1994)"""
7098,4,"7098  = ""7098 : SKIN DISORDERS NEC"""
73018,4,"73018 = ""73018: CHR OSTEOMYELIT NEC"""
73399,4,"73399 = ""73399: BONE & CARTILAGE DIS NEC"""
78079,4,"78079 = ""78079: OTH MALAISE/FATIGUE (Begin 1998)"""
7830,4,"7830  = ""7830 : ANOREXIA"""
7845,4,"7845  = ""7845 : SPEECH DISTURBANCE NEC (end 2009)"""
7863,4,"7863  = ""7863 : HEMOPTYSIS"""
7991,4,"7991  = ""7991 : RESPIRATORY ARREST-"""
8670,4,"8670  = ""8670 : BLADDER/URETHRA INJ-CLOS"""
9092,4,"9092  = ""9092 : LATE EFFECT OF RADIATION"""
99813,4,"99813 = ""99813: SEROMA PROC CX (Begin 1996)"""
99831,4,"99831 = ""99831: DISRUPTION OF INTERNAL OPER WOUND (Begin 2002)"""
9986,4,"9986  = ""9986 : PERSIST POSTOP FISTULA"""
E8700,4,"E8700 = ""E8700: ACC CUT/HEM IN SURGERY"""
E8782,4,"E8782 = ""E8782: ABN REACT-ANASTOM/GRAFT"""
E9331,4,"E9331 = ""E9331: ADV EFF ANTINEOPLASTIC"""
E9352,4,"E9352 = ""E9352: ADV EFF OPIATES"""
E9444,4,"E9444 = ""E9444: ADV EFF DIURETICS NEC"""
V0382,4,"V0382 = ""V0382: VACCIN FOR STREP PNEUMON (Begin 1994)"""
V078 ,4,#N/A
V08  ,4,#N/A
V1042,4,"V1042 = ""V1042: HX-UTERUS MALIGNANCY NEC"""
V1052,4,"V1052 = ""V1052: HX OF KIDNEY MALIGNANCY"""
V1081,4,"V1081 = ""V1081: HX OF BONE MALIGNANCY"""
V125 ,4,#N/A
V146 ,4,#N/A
V1508,4,"V1508 = ""V1508: ALLERGY TO RADIOGRAPHIC DYE (Begin 2000)"""
V1642,4,"V1642 = ""V1642: FAM HX MALIG NEOPL PROST (Begin 1997)"""
V431 ,4,#N/A
V451 ,4,#N/A
V4573,4,"V4573 = ""V4573: ACQUIRED ABSENCE KIDNEY (Begin 1997)"""
V600 ,4,#N/A
V851 ,4,#N/A
1103,3,"1103  = ""1103 : DERMATOPHYTOSIS OF GROIN"""
1122,3,"1122  = ""1122 : CANDIDIAS UROGENITAL NEC"""
1173,3,"1173  = ""1173 : ASPERGILLOSIS"""
1179,3,"1179  = ""1179 : MYCOSES NEC & NOS"""
1431,3,"1431  = ""1431 : MALIG NEO LOWER GUM"""
1450,3,"1450  = ""1450 : MAL NEO CHEEK MUCOSA"""
1736,3,"1736  = ""1736 : MALIG NEO SKIN ARM"""
1911,3,"1911  = ""1911 : MALIG NEO FRONTAL LOBE"""
1918,3,"1918  = ""1918 : MALIG NEO BRAIN NEC"""
1987,3,"1987  = ""1987 : SECOND MALIG NEO ADRENAL"""
20280,3,"20280 = ""20280: LYMPHOMA NEC UNSPEC SITE"""
20281,3,"20281 = ""20281: LYMPHOMAS NEC HEAD"""
2113,3,"2113  = ""2113 : BENIGN NEOPLASM LG BOWEL"""
2163,3,"2163  = ""2163 : BENIGN NEO SKIN FACE NEC"""
2448,3,"2448  = ""2448 : ACQUIRED HYPOTHYROID NEC"""
25003,3,"25003 = ""25003: DIABETES MELL TYPE I UNCONT (Begin 1993)"""
25080,3,"25080 = ""25080: DIAB W MANIF NEC TYPE II"""
25091,3,"25091 = ""25091: DIAB W COMPL NOS TYPE I"""
2554,3,"2554  = ""2554 : CORTICOADRENAL INSUFFIC (end 2007)"""
261,3,"261   = ""261  : NUTRITIONAL MARASMUS"""
2662,3,"2662  = ""2662 : B-COMPLEX DEFIC NEC"""
2721,3,"2721  = ""2721 : PURE HYPERGLYCERIDEMIA"""
2810,3,"2810  = ""2810 : PERNICIOUS ANEMIA"""
2880,3,"2880  = ""2880 : AGRANULOCYTOSIS"""
2893,3,"2893  = ""2893 : LYMPHADENITIS NOS"""
2898,3,"2898  = ""2898 : BLOOD DISEASES NEC (End 2003)"""
28981,3,"28981 = ""28981: PRIMARY HYPERCOAGULABLE STATE (Begin 2003)"""
29040,3,"29040 = ""29040: ARTERIOSCLER DEMENT NOS"""
29212,3,"29212 = ""29212: DRUG HALLUCINOSIS"""
29281,3,"29281 = ""29281: DRUG-INDUCED DELIRIUM"""
2967,3,"2967  = ""2967 : BIPOLAR AFFECTIVE NOS"""
30001,3,"30001 = ""30001: PANIC DISORDER"""
30523,3,"30523 = ""30523: CANNABIS ABUSE-IN REMISS"""
30563,3,"30563 = ""30563: COCAINE ABUSE-IN REMISS"""
30928,3,"30928 = ""30928: ADJ REACT-MIXED EMOTION"""
30981,3,"30981 = ""30981: PROLONG POSTTRAUM STRESS"""
3109,3,"3109  = ""3109 : NONPSYCHOT BRAIN SYN NOS"""
319,3,"319   = ""319  : -MENTAL RETARDATION NOS-"""
3202,3,"3202  = ""3202 : STREPTOCOCCAL MENINGITIS"""
33818,3,"33818 = ""33818: ACUTE POSTOP PAIN NEC (Begin 2006)"""
340,3,"340   = ""340  : MULTIPLE SCLEROSIS"""
3441,3,"3441  = ""3441 : PARAPLEGIA NOS"""
3481,3,"3481  = ""3481 : ANOXIC BRAIN DAMAGE"""
3483,3,"3483  = ""3483 : ENCEPHALOPATHY NOS (End 2003)"""
3490,3,"3490  = ""3490 : LUMBAR PUNCTURE REACTION"""
36201,3,"36201 = ""36201: DIABETIC RETINOPATHY NOS"""
36589,3,"36589 = ""36589: GLAUCOMA NEC"""
37420,3,"37420 = ""37420: LAGOPHTHALMOS NOS"""
37852,3,"37852 = ""37852: TOTAL THIRD NERVE PALSY"""
3789,3,"3789  = ""3789 : EYE MOVEMNT DISORDER NOS"""
37991,3,"37991 = ""37991: PAIN IN OR AROUND EYE"""
37992,3,"37992 = ""37992: SWELLING OR MASS OF EYE"""
3804,3,"3804  = ""3804 : IMPACTED CERUMEN"""
3811,3,"3811 = ""3811: ENDARTER INTRACRANIAL"""
38110,3,"38110 = ""38110: CHR SEROUS OM SIMP/NOS"""
38181,3,"38181 = ""38181: DYSFUNCT EUSTACHIAN TUBE"""
3843,3,"3843 = ""3843: ARM VES RESECT W REPLACE"""
38870,3,"38870 = ""38870: OTALGIA NOS"""
38900,3,"38900 = ""38900: CONDUCT HEARING LOSS NOS"""
38911,3,"38911 = ""38911: SENSORY HEARING LOSS"""
3963,3,"3963  = ""3963 : MITRAL/AORTIC VAL INSUFF"""
41011,3,"41011 = ""41011: AMI ANTERIOR WALL- INIT (Begin 1989)"""
4160,3,"4160  = ""4160 : PRIM PULM HYPERTENSION"""
430,3,"430   = ""430  : SUBARACHNOID HEMORRHAGE"""
43330,3,"43330 = ""43330: MULT PRECEREB OCCLUS W/O INFARCT (Begin 1993)"""
436,3,"436   = ""436  : CVA"""
4370,3,"4370  = ""4370 : CEREBRAL ATHEROSCLEROSIS"""
4376,3,"4376  = ""4376 : NONPYOGEN THROMBOS SINUS"""
44281,3,"44281 = ""44281: ANEURYSM OF NECK"""
45989,3,"45989 = ""45989: CIRCULATORY DISEASE NEC"""
4748,3,"4748  = ""4748 : CHR T & A DIS NEC"""
490,3,"490   = ""490  : BRONCHITIS NOS"""
5121,3,"5121  = ""5121 : IATROGENIC PNEUMOTHORAX (Begin 1994)"""
5183,3,"5183  = ""5183 : PULMONARY EOSINOPHILIA"""
52109,3,"52109 = ""52109: OTHER DENTAL CARIES (Begin 2001)"""
52689,3,"52689 = ""52689: JAW DISEASE NEC"""
5272,3,"5272  = ""5272 : SIALOADENITIS"""
5285,3,"5285  = ""5285 : DISEASES OF LIPS"""
5301,3,"5301  = ""5301 : ESOPHAGITIS (End 1993)"""
53290,3,"53290 = ""53290: DUODENAL ULCER NOS"""
53370,3,"53370 = ""53370: CHRONIC PEPTIC ULCER NOS"""
5368,3,"5368  = ""5368 : STOMACH FUNCTION DIS NEC"""
5369,3,"5369  = ""5369 : STOMACH FUNCTION DIS NOS"""
539,3,"0539 = ""0539: SYMPATH NERVE INJECT NEC"""
5569,3,"5569  = ""5569 : ULCERATIVE COLITIS NOS (Begin 1994)"""
5712,3,"5712  = ""5712 : ALCOHOL CIRRHOSIS LIVER"""
57420,3,"57420 = ""57420: CHOLELITHIASIS NOS"""
5771,3,"5771  = ""5771 : CHRONIC PANCREATITIS"""
5856,3,"5856  = ""5856 : END STAGE RENAL DISEASE (Begin 2005)"""
69274,3,"69274 = ""69274: OTH CHRON SOLAR DERMATI (Begin 1992)"""
6989,3,"6989  = ""6989 : PRURITIC DISORDER NOS"""
7011,3,"7011  = ""7011 : KERATODERMA- ACQUIRED"""
7054,3,"7054 = ""7054: REP CYSTOCEL W GRFT/PROS (Begin 2007)"""
70703,3,"70703 = ""70703: DECUBITUS ULCER"
7071,3,"7071  = ""7071 : CHRONIC ULCER OF LEG (End 2000)"""
71696,3,"71696 = ""71696: ARTHROPATHY NOS-L/LEG"""
71699,3,"71699 = ""71699: ARTHROPATHY NOS-MULT"""
7200,3,"7200  = ""7200 : ANKYLOSING SPONDYLITIS"""
72190,3,"72190 = ""72190: SPONDYLOS NOS W/O MYELOP"""
72402,3,"72402 = ""72402: SPINAL STENOSIS-LUMBAR"""
7291,3,"7291  = ""7291 : MYALGIA AND MYOSITIS NOS"""
72989,3,"72989 = ""72989: MUSCSKEL SYMPT LIMB NEC"""
73008,3,"73008 = ""73008: AC OSTEOMYELITIS NEC"""
73319,3,"73319 = ""73319: OTH SPEC PATH FX (Begin 1993)"""
7801,3,"7801  = ""7801 : HALLUCINATIONS"""
78097,3,"78097 = ""78097: ALTERED MENTAL STATUS (Begin 2006)"""
78099,3,"78099 = ""78099: OTHER GENERAL SYMPTOMS (Begin 2002)"""
7820,3,"7820  = ""7820 : SKIN SENSATION DISTURB"""
7821,3,"7821  = ""7821 : NONSPECIF SKIN ERUPT NEC"""
7843,3,"7843  = ""7843 : APHASIA"""
78659,3,"78659 = ""78659: CHEST PAIN NEC"""
78841,3,"78841 = ""78841: URINARY FREQUENCY (Begin 1993)"""
78900,3,"78900 = ""78900: ABDOM PAIN NOS (Begin 1994)"""
7902,3,"7902  = ""7902 : ABN GLUCOSE TOLERAN TEST (End 2003)"""
79092,3,"79092 = ""79092: ABN COAGULATION PROFILE (Begin 1993)"""
7955,3,"7955  = ""7955 : TUBERCULIN TEST REACTION"""
849,3,"0849  = ""0849 : MALARIA COMPLICATED NEC"""
85180,3,"85180 = ""85180: BRAIN LACERATION NEC"""
9181,3,"09181 = ""09181: ACUTE SYPHIL MENINGITIS"""
9348,3,"9348  = ""9348 : FB TRACH/BRONCH/LUNG NEC"""
9952,3,"09952 = ""09952: CHLAMYDIA-ANUS RECTUM (Begin 1992)"""
99591,3,"99591 = ""99591: SYS INFLAM / INFECTI W/O ORGAN DYSFUNC (Begin 2002)"""
99659,3,"99659 = ""99659: MALFUNC OTH DEVICE/GRAFT (Begin 1987)"""
99674,3,"99674 = ""99674: COMP-OTH VASC DEV/GRAFT (Begin 1989)"""
99779,3,"99779 = ""99779: VASCULAR CX OTHER VESSELS (Begin 2001)"""
99832,3,"99832 = ""99832: DISRUPTION OF EXTERNAL OPER WOUND (Begin 2002)"""
V1087,3,"V1087 = ""V1087: HX OF THYROID MALIGNANCY"""
V1201,3,"V1201 = ""V1201: HX TUBERCULOSIS (Begin 1994)"""
V1202,3,"V1202 = ""V1202: HX POLIO (Begin 1994)"""
V1254,3,"V1254 = ""V1254: HX TIA/STROKE W/O RESID (Begin 2007)"""
V127 ,3,#N/A
V1272,3,"V1272 = ""V1272: HX COLONIC POLYPS (Begin 1994)"""
V141 ,3,#N/A
V1589,3,"V1589 = ""V1589: HX-HEALTH HAZARDS NEC"""
V173 ,3,#N/A
V425 ,3,#N/A
V430 ,3,#N/A
V4571,3,"V4571 = ""V4571: ACQUIRED ABSENCE BREAST (Begin 1997)"""
V4579,3,"V4579 = ""V4579: OTHER ACQUIRED ABSENCE OF ORGAN (Begin 2000)"""
V461 ,3,#N/A
V4611,3,"V4611 = ""V4611: RESPIRATOR DEPEND STATUS (Begin 2004)"""
V4975,3,"V4975 = ""V4975: AMPUTATION STATUS - BELOW KNEE (Begin 1994)"""
V550 ,3,#N/A
V5865,3,"V5865 = ""V5865: LONG-TERM (CURRENT) USE OF STEROIDS (Begin 2003)"""
V653 ,3,#N/A
V661 ,3,#N/A
V662 ,3,#N/A
V667 ,3,#N/A
V850 ,3,#N/A
V8801,3,"V8801 = ""V8801: ACQ ABSNCE CERVIX/UTERUS (Begin 2008)"""
1101,2,"1101  = ""1101 : DERMATOPHYTOSIS OF NAIL"""
11283,2,"11283 = ""11283: CANDIDAL MENINGITIS"""
11284,2,"11284 = ""11284: CANDIDAL ESOPHAGITIS (Begin 1992)"""
138,2,"138   = ""138  : LATE EFFECT ACUTE POLIO"""
1403,2,"1403  = ""1403 : MAL NEO UPPER LIP- INNER"""
1406,2,"1406  = ""1406 : MAL NEO LIP- COMMISSURE"""
1459,2,"1459  = ""1459 : MALIG NEOPLASM MOUTH NOS"""
1498,2,"1498  = ""1498 : MAL NEO ORAL/PHARYNX NEC"""
1539,2,"1539  = ""1539 : MALIGNANT NEO COLON NOS"""
1541,2,"1541  = ""1541 : MALIGNANT NEOPL RECTUM"""
1623,2,"1623  = ""1623 : MAL NEO UPPER LOBE LUNG"""
1728,2,"1728  = ""1728 : MALIG MELANOMA SKIN NEC"""
1735,2,"1735  = ""1735 : MALIG NEO SKIN TRUNK"""
1888,2,"1888  = ""1888 : MALIG NEO BLADDER NEC"""
1943,2,"1943  = ""1943 : MALIG NEO PITUITARY"""
1948,2,"1948  = ""1948 : MAL NEO ENDOCRINE NEC"""
1966,2,"1966  = ""1966 : MAL NEO LYMPH-INTRAPELV"""
1972,2,"1972  = ""1972 : SECOND MALIG NEO PLEURA"""
1976,2,"1976  = ""1976 : SEC MAL NEO PERITONEUM"""
1980,2,"1980  = ""1980 : SECOND MALIG NEO KIDNEY"""
1991,2,"1991  = ""1991 : MALIGNANT NEOPLASM NOS"""
2030,2,"2030  = ""2030 : MULTIPLE MYELOMA (Begin 1980"
20300,2,"20300 = ""20300: MULT MYELM W/O REMISSION (Begin 1991)"""
2148,2,"2148  = ""2148 : LIPOMA NEC"""
2166,2,"2166  = ""2166 : BENIGN NEO SKIN ARM"""
2252,2,"2252  = ""2252 : BEN NEO CEREBR MENINGES"""
2271,2,"2271  = ""2271 : BENIGN NEO PARATHYROID"""
2273,2,"2273  = ""2273 : BENIGN NEO PITUITARY"""
2300,2,"2300  = ""2300 : CA IN SITU ORAL CAV/PHAR"""
2323,2,"2323  = ""2323 : CA IN SITU SKIN FACE NEC"""
2387,2,"2387  = ""2387 : LYMPHOPROLIFERAT DIS NOS"""
2452,2,"2452  = ""2452 : CHR LYMPHOCYT THYROIDIT"""
25040,2,"25040 = ""25040: DIAB RENAL MANIF TYPE II"""
25051,2,"25051 = ""25051: DIAB EYE MANIF TYPE I"""
25093,2,"25093 = ""25093: DIAB W COMPL NOS TYPE I DM UNCONT (Begin 1993)"""
260,2,"260   = ""260  : KWASHIORKOR"""
2638,2,"2638  = ""2638 : PROTEIN-CAL MALNUTR NEC"""
2740,2,"2740  = ""2740 : GOUTY ARTHROPATHY (end 2009)"""
27652,2,"27652 = ""27652: HYPOVOLEMIA (Begin 2005)"""
2824,2,"2824  = ""2824 : THALASSEMIAS (End 2003)"""
2825,2,"2825  = ""2825 : SICKLE-CELL TRAIT"""
28521,2,"28521 = ""28521: ANEMIA IN END-STAGE RENAL DISEASE (Begin 2000)"""
2949,2,"2949  = ""2949 : ORGANIC BRAIN SYND NOS"""
29520,2,"29520 = ""29520: CATATONIA-UNSPEC"""
29650,2,"29650 = ""29650: BIPOLAR AFF/ DEPR-UNSPEC"""
29680,2,"29680 = ""29680: MANIC-DEPRESSIVE NOS"""
2971,2,"2971  = ""2971 : PARANOIA"""
30521,2,"30521 = ""30521: CANNABIS ABUSE-CONTIN"""
31401,2,"31401 = ""31401: ATTN DEFICIT W HYPERACT"""
3181,2,"3181  = ""3181 : SEVERE MENTAL RETARDAT"""
3209,2,"3209  = ""3209 : BACTERIAL MENINGITIS NOS"""
3239,2,"3239  = ""3239 : ENCEPHALITIS NOS"""
3332,2,"3332  = ""3332 : MYOCLONUS"""
33394,2,"33394 = ""33394: RESTLESS LEGS SYNDROME (Begin 2006)"""
3439,2,"3439  = ""3439 : CEREBRAL PALSY NOS"""
3449,2,"3449  = ""3449 : PARALYSIS NOS"""
34510,2,"34510 = ""34510: GEN CNV EPIL W/O INTR EP (Begin 1989)"""
3453,2,"3453  = ""3453 : GRAND MAL STATUS"""
3459,2,"3459  = ""3459 : EPILEPSY NOS (Begin 1980"
3480,2,"3480  = ""3480 : CEREBRAL CYSTS"""
34989,2,"34989 = ""34989: CNS DISORDER NEC"""
3509,2,"3509  = ""3509 : TRIGEMINAL NERVE DIS NOS"""
3591,2,"3591  = ""3591 : HERED PROG MUSC DYSTRPHY"""
36089,2,"36089 = ""36089: DISORDER OF GLOBE NEC"""
36231,2,"36231 = ""36231: CENT RETINA ARTERY OCCLU"""
36800,2,"36800 = ""36800: AMBLYOPIA NOS"""
3689,2,"3689  = ""3689 : VISUAL DISTURBANCE NOS"""
3694,2,"3694  = ""3694 : LEGAL BLINDNESS-USA DEF"""
37200,2,"37200 = ""37200: ACUTE CONJUNCTIVITIS NOS"""
37240,2,"37240 = ""37240: PTERYGIUM NOS"""
37500,2,"37500 = ""37500: DACRYOADENITIS NOS"""
37515,2,"37515 = ""37515: TEAR FILM INSUFFIC NOS"""
37522,2,"37522 = ""37522: EPIPHORA D/T INSUF DRAIN"""
37530,2,"37530 = ""37530: DACRYOCYSTITIS NOS"""
37561,2,"37561 = ""37561: LACRIMAL FISTULA"""
37610,2,"37610 = ""37610: CHR INFLAM NOS- ORBIT"""
37810,2,"37810 = ""37810: EXOTROPIA NOS"""
37856,2,"37856 = ""37856: TOTAL OPHTHALMOPLEGIA"""
37990,2,"37990 = ""37990: EYE DISORDER NOS"""
3819,2,"3819  = ""3819 : EUSTACHIAN TUBE DIS NOS"""
382,2,#N/A
38801,2,"38801 = ""38801: PRESBYACUSIS"""
38830,2,"38830 = ""38830: TINNITUS NOS"""
3968,2,"3968  = ""3968 : MITR/AORTIC MULT INVOLV"""
4100,2,"4100  = ""4100 : AMI ANTEROLATERAL WALL (Begin 1980"
41042,2,"41042 = ""41042: AMI INFERIOR WALL;SUBSEQ (Begin 1989)"""
4109,2,"4109  = ""4109 : MYOCARDIAL INFARCT NOS (Begin 1980"
4112,2,#N/A
416,2,#N/A
4169,2,"4169  = ""4169 : CHR PULMON HEART DIS NOS"""
4189,2,#N/A
419,2,"0419 = ""0419: PERIPH NERVE DX PROC NEC"""
42,2,"0042 = ""0042: PROCEDURE-THREE VESSELS (Begin 2005)"""
4239,2,"4239  = ""4239 : PERICARDIAL DISEASE NOS"""
4251,2,"4251  = ""4251 : HYPERTR OBSTR CARDIOMYOP"""
4255,2,"4255  = ""4255 : ALCOHOL CARDIOMYOPATHY"""
4258,2,"4258  = ""4258 : CARDIOMYOPATH IN OTH DIS"""
4260,2,"4260  = ""4260 : ATRIOVENT BLOCK COMPLETE"""
4267,2,"4267  = ""4267 : ANOMALOUS AV EXCITATION"""
42830,2,"42830 = ""42830: UNSPECIFIED DIASTOLIC HEART FAILURE (Begin 2002)"""
431,2,"431   = ""431  : INTRACEREBRAL HEMORRHAGE"""
4320,2,"4320  = ""4320 : NONTRAUM EXTRADURAL HEM"""
4321,2,"4321  = ""4321 : SUBDURAL HEMORRHAGE"""
4479,2,"4479  = ""4479 : ARTERIAL DISEASE NOS"""
45182,2,"45182 = ""45182: PHLEBITIS SUPERFIC VEINS UP EXTREM (Begin 1993)"""
45184,2,"45184 = ""45184: PHLEBITIS UP EXTREM UNSPEC VEIN (Begin 1993)"""
4549,2,"4549  = ""4549 : VARICOSE VEIN OF LEG NOS"""
4556,2,"4556  = ""4556 : HEMORRHOIDS NOS"""
4592,2,"4592  = ""4592 : COMPRESSION OF VEIN"""
4618,2,"4618  = ""4618 : OTHER ACUTE SINUSITIS"""
462,2,"462   = ""462  : ACUTE PHARYNGITIS"""
4711,2,"4711  = ""4711 : POLYPOID SINUS DEGEN"""
4722,2,"4722  = ""4722 : CHRONIC NASOPHARYNGITIS"""
47829,2,"47829 = ""47829: DISEASE OF PHARYNX NEC"""
4786,2,"4786  = ""4786 : EDEMA OF LARYNX"""
4824,2,"4824  = ""4824 : STAPHYLOCOCCAL PNEUMONIA (End 1998)"""
4912,2,"4912  = ""4912 : OBSTRUCT CHR BRONCHITIS (Begin 1980"
4918,2,"4918  = ""4918 : CHRONIC BRONCHITIS NEC"""
5118,2,"5118  = ""5118 : PLEURAL EFFUS NEC NOT TB (end 2008)"""
514,2,"514   = ""514  : PULM CONGEST/HYPOSTASIS"""
5181,2,"5181  = ""5181 : INTERSTITIAL EMPHYSEMA"""
5218,2,"5218  = ""5218 : HARD TISS DIS TEETH NEC"""
5231,2,"5231  = ""5231 : CHRONIC GINGIVITIS"""
5233,2,"5233  = ""5233 : ACUTE PERIODONTITIS"""
5234,2,"5234  = ""5234 : CHRONIC PERIODONTITIS"""
5238,2,"5238  = ""5238 : PERIODONTAL DISEASE NEC"""
52401,2,"52401 = ""52401: ANOM JAW SIZE-MAX HYPER (Begin 1992)"""
52430,2,"52430 = ""52430: TOOTH POSITION ANOM NOS (Begin 2004)"""
5249,2,"5249  = ""5249 : DENTOFACIAL ANOMALY NOS"""
52510,2,"52510 = ""52510: ACQUIRED ABSENCE OF TEETH NOS (Begin 2001)"""
5260,2,"5260  = ""5260 : DEVEL ODONTOGENIC CYSTS"""
5283,2,"5283  = ""5283 : CELLULITIS/ABSCESS MOUTH"""
5302,2,"5302  = ""5302 : ULCER OF ESOPHAGUS (End 2003)"""
53085,2,"53085 = ""53085: BARRETTS ESOPHAGUS (Begin 2003)"""
53642,2,"53642 = ""53642: GASTROST MECH COMPL (Begin 1998)"""
549,2,#N/A
55090,2,"55090 = ""55090: UNILAT INGUINAL HERNIA"""
5531,2,"5531  = ""5531 : UMBILICAL HERNIA"""
56039,2,"56039 = ""56039: IMPACTION INTESTINE NEC"""
56211,2,"56211 = ""56211: DVRTCLI COLON (W/O HMRHG) (Begin 1980)"""
5644,2,"5644  = ""5644 : POSTOP GI FUNCT DIS NEC"""
5718,2,"5718  = ""5718 : CHRONIC LIVER DIS NEC"""
5722,2,"5722  = ""5722 : HEPATIC COMA"""
5739,2,"5739  = ""5739 : LIVER DISORDER NOS"""
57410,2,"57410 = ""57410: CHOLELITH W CHOLECYS NEC"""
5770,2,"5770  = ""5770 : ACUTE PANCREATITIS"""
5780,2,"5780  = ""5780 : HEMATEMESIS"""
5829,2,"5829  = ""5829 : CHRONIC NEPHRITIS NOS"""
58381,2,"58381 = ""58381: NEPHRITIS NOS IN OTH DIS"""
5933,2,"5933  = ""5933 : STRICTURE OF URETER"""
5964,2,"5964  = ""5964 : ATONY OF BLADDER"""
5996,2,"5996  = ""5996 : URINARY OBSTRUCTION NOS (End 2005)"""
